,city,lon,lat
1,Braunschweig,10.5236066,52.2646577
2,Stade,9.475438,53.599794
3,Kolberg,15.5764209,54.1759614
4,Goslar,10.4266284,51.9059936
5,Rüthen,8.4330329,51.4911392
6,Dithmarschen,9.0799113,54.1331231
7,Duisburg,6.759562,51.434999
8,Hamburg,10.000654,53.550341
9,Werl,7.9155558,51.5533457
10,Soest,8.1043635,51.5784166
11,Bremen,8.8071646,53.0758196
12,Ravensberg,8.531007,52.0191005
13,Herford,8.6711118,52.1152245
14,Oldenburg,8.2146017,53.1389753
15,Lübeck,10.684738,53.866444
16,Magdeburg,11.6399609,52.1315889
17,Rietberg,8.4286614,51.8074106
18,Bamberg,10.8876149,49.8926723
19,Rostock,12.1286127,54.0924445
